pid,process_name,cpu,mem,label
315,psimon,0.0,0.0,0
359,irq/134-mei_me,0.0,0.0,0
373,kworker/R-cfg80,0.0,0.0,0
394,kworker/R-crypt,0.0,0.0,0
512,psimon,0.0,0.0,0
574,krfcommd,0.0,0.0,0
623,(sd-pam),0.0,0.0,0
679,dbus-broker-lau,0.0,0.0,0
682,dconf-service,0.0,0.0,0
734,wl-paste,0.0,0.0,0
747,bash,0.0,0.0,0
820,at-spi-bus-laun,0.0,0.0,0
826,dbus-monitor,0.0,0.0,0
837,dbus-broker-lau,0.0,0.0,0
840,dbus-broker,0.0,0.0,0
846,gvfsd,0.0,0.1,0
861,gvfsd-fuse,0.0,0.1,0
890,xdg-permission-,0.0,0.0,0
904,xdg-document-po,0.0,0.1,0
915,fusermount3,0.0,0.0,0
932,at-spi2-registr,0.0,0.0,0
5416,kworker/2:0-eve,0.0,0.0,0
7129,kworker/3:0-i91,0.0,0.0,0
7268,kworker/1:0-i91,0.0,0.0,0
7410,systemd-userwor,0.0,0.0,0
7411,systemd-userwor,0.0,0.0,0
7412,systemd-userwor,0.0,0.0,0
7444,kworker/0:1,0.0,0.0,0
7511,kworker/3:2,0.0,0.0,0
7653,wl-copy,0.0,0.0,0
7662,nm-dispatcher,0.0,0.0,0
7671,collect_data.sh,0.0,0.0,0
7672,ps,0.0,0.0,0
7673,collect_data.sh,0.0,0.0,0
